,GPStime,peakFreq,snr,amplitude,centralFreq,duration,bandwidth,chisq,chisqDof,confidence,id,ifo,label,imgUrl,Q-value
373,1244841634,51.887,495.82,9.600000000000001e-21,3411.045,21.056,6782.580566,0,0,1.0,TD48Vvl6av,V1,Scattered_Light,https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/9FA97EOdRU/TD48Vvl6av.png,45.255
417,1242954154,26.03,99.239,1.36e-20,3881.874,12.75,7731.748047,0,0,1.0,GtQRsAHtzf,V1,Scattered_Light,https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/KsKSqnuCYD/GtQRsAHtzf.png,45.255
419,1238279302,23.683,94.828,2.21e-20,3409.167,6.75,6786.334961,0,0,1.0,xpruhiQwJ5,V1,Scattered_Light,https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/O3/Virgo/7T8tXEwwia/xpruhiQwJ5.png,45.255
480,1238411734,26.017,51.78,8.49e-21,3350.311,10.5,6668.622559,0,0,1.0,sVDG0O0rFY,V1,Scattered_Light,https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/O3/Virgo/vM3mqmKeui/sVDG0O0rFY.png,45.255
506,1238386314,23.527,45.999,9.290000000000001e-21,3813.464,14.0,7594.927246,0,0,1.0,g6JbJbaWm1,V1,Scattered_Light,https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/O3/Virgo/vM3mqmKeui/g6JbJbaWm1.png,45.255
518,1238412993,25.159,41.97,7.530000000000001e-21,3693.803,11.0,7355.606934,0,0,1.0,2KKVZxf0Pz,V1,Scattered_Light,https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/O3/Virgo/vM3mqmKeui/2KKVZxf0Pz.png,22.627
522,1238412839,24.329,41.213,7.600000000000001e-21,3146.814,17.25,6261.62793,0,0,1.0,JOgUv4OTl3,V1,Scattered_Light,https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/O3/Virgo/vM3mqmKeui/JOgUv4OTl3.png,22.627
558,1238412619,24.329,37.68,8.63e-21,3703.979,6.0,7375.958496,0,0,1.0,xiI2EKMOUI,V1,Scattered_Light,https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/O3/Virgo/vM3mqmKeui/xiI2EKMOUI.png,22.627
607,1238429390,23.527,33.811,8.75e-21,2920.99,6.25,5809.979004,0,0,1.0,ztyn3eLwrG,V1,Scattered_Light,https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/O3/Virgo/vM3mqmKeui/ztyn3eLwrG.png,45.255
653,1243491869,26.03,31.694,2.7800000000000003e-21,3551.692,13.25,7071.383301,0,0,1.0,MZrCYGrqjp,V1,Scattered_Light,https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/nbDmoGdMUo/MZrCYGrqjp.png,45.255
